observation_date,DRCCLACBS
2013-01-01,2.64
2013-04-01,2.53
2013-07-01,2.44
2013-10-01,2.38
2014-01-01,2.32
2014-04-01,2.26
2014-07-01,2.20
2014-10-01,2.15
2015-01-01,2.11
2015-04-01,2.12
2015-07-01,2.15
2015-10-01,2.16
2016-01-01,2.15
2016-04-01,2.21
2016-07-01,2.29
2016-10-01,2.37
2017-01-01,2.40
2017-04-01,2.49
2017-07-01,2.54
2017-10-01,2.48
2018-01-01,2.50
2018-04-01,2.50
2018-07-01,2.52
2018-10-01,2.54
2019-01-01,2.54
2019-04-01,2.59
2019-07-01,2.60
2019-10-01,2.61
2020-01-01,2.69
2020-04-01,2.45
2020-07-01,1.99
2020-10-01,2.10
2021-01-01,1.88
2021-04-01,1.59
2021-07-01,1.53
2021-10-01,1.57
2022-01-01,1.69
2022-04-01,1.83
2022-07-01,2.05
2022-10-01,2.26
2023-01-01,2.47
2023-04-01,2.76
2023-07-01,2.94
2023-10-01,3.10
2024-01-01,3.17
2024-04-01,3.24
2024-07-01,3.20
2024-10-01,3.08
